Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,69,1406,1475,Kyeintali(ST),MMR012017
 Rural,249,4357,4606,Kyeintali(ST),MMR012017
 Total,318,5763,6081,Kyeintali(ST),MMR012017
