Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,281,6993,7274,Myauk U,MMR012003
 Rural,723,33528,34251,Myauk U,MMR012003
 Total,1004,40521,41525,Myauk U,MMR012003
