Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,4628,12798,17426,Bahan,MMR013044
 Total,4628,12798,17426,Bahan,MMR013044
