Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,525,633,1158,Kunlon,MMR015020
 Rural,1361,7873,9234,Kunlon,MMR015020
 Total,1886,8506,10392,Kunlon,MMR015020
