Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,270,1989,2259,Pindaya,MMR014006
 Rural,78,15207,15285,Pindaya,MMR014006
 Total,348,17196,17544,Pindaya,MMR014006
