Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,637,9227,9864,Kyauktan,MMR013024
 Rural,874,22238,23112,Kyauktan,MMR013024
 Total,1511,31465,32976,Kyauktan,MMR013024
