Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,445,1577,2022,Pan San(Pan Kham),MMR015005
 Rural,565,13555,14120,Pan San(Pan Kham),MMR015005
 Total,1010,15132,16142,Pan San(Pan Kham),MMR015005
