Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,404,3605,4009,Hsipaw,MMR015014
 Rural,821,33076,33897,Hsipaw,MMR015014
 Total,1225,36681,37906,Hsipaw,MMR015014
