Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,283,4063,4346,Myitthar,MMR010015
 Rural,680,40991,41671,Myitthar,MMR010015
 Total,963,45054,46017,Myitthar,MMR010015
