Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,231,1330,1561,Minesat,MMR016006
 Rural,318,14030,14348,Minesat,MMR016006
 Total,549,15360,15909,Minesat,MMR016006
