Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,3027,3093,6120,Kyauktada,MMR013033
 Total,3027,3093,6120,Kyauktada,MMR013033
