Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,51,1827,1878,An,MMR012014
 Rural,825,24656,25481,An,MMR012014
 Total,876,26483,27359,An,MMR012014
