Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,1412,9682,11094,Tachileik,MMR016009
 Rural,451,19634,20085,Tachileik,MMR016009
 Total,1863,29316,31179,Tachileik,MMR016009
