Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,5497,37823,43320,Thingangyun,MMR013009
 Total,5497,37823,43320,Thingangyun,MMR013009
