Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,511,6789,7300,Wundwin,MMR010031
 Rural,1668,44601,46269,Wundwin,MMR010031
 Total,2179,51390,53569,Wundwin,MMR010031
