Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,29,1090,1119,Minetung,MMR016008
 Rural,78,3061,3139,Minetung,MMR016008
 Total,107,4151,4258,Minetung,MMR016008
