Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,941,5191,6132,Namkham,MMR015010
 Rural,1025,14260,15285,Namkham,MMR015010
 Total,1966,19451,21417,Namkham,MMR015010
