Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,4029,12270,16299,Kamayut,MMR013041
 Total,4029,12270,16299,Kamayut,MMR013041
