Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,320,2446,2766,Yekyi,MMR017006
 Rural,1104,23932,25036,Yekyi,MMR017006
 Total,1424,26378,27802,Yekyi,MMR017006
