Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,528,3764,4292,Pantanaw,MMR017020
 Rural,3657,52328,55985,Pantanaw,MMR017020
 Total,4185,56092,60277,Pantanaw,MMR017020
