Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,874,7875,8749,Hlegu,MMR013004
 Rural,1437,47837,49274,Hlegu,MMR013004
 Total,2311,55712,58023,Hlegu,MMR013004
