Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,685,6189,6874,Pyawbwe,MMR010024
 Rural,1110,50879,51989,Pyawbwe,MMR010024
 Total,1795,57068,58863,Pyawbwe,MMR010024
