Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,3789,38915,42704,Dagon Myothit(North),MMR013019
 Total,3789,38915,42704,Dagon Myothit(North),MMR013019
