Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,171,2060,2231,Kawhmu,MMR013028
 Rural,1128,26433,27561,Kawhmu,MMR013028
 Total,1299,28493,29792,Kawhmu,MMR013028
