Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,2199,21764,23963,Meiktila,MMR010028
 Rural,1017,43459,44476,Meiktila,MMR010028
 Total,3216,65223,68439,Meiktila,MMR010028
