Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,28,2191,2219,Mongkai,MMR014016
 Rural,70,14043,14113,Mongkai,MMR014016
 Total,98,16234,16332,Mongkai,MMR014016
