Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,452,4145,4597,Ngathaingchaung(ST),MMR017006
 Rural,1159,17157,18316,Ngathaingchaung(ST),MMR017006
 Total,1611,21302,22913,Ngathaingchaung(ST),MMR017006
