Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,23,1936,1959,Minepan,MMR014021
 Rural,94,3368,3462,Minepan,MMR014021
 Total,117,5304,5421,Minepan,MMR014021
