Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,3,424,427,Tontar(ST),MMR016007
 Rural,13,2254,2267,Tontar(ST),MMR016007
 Total,16,2678,2694,Tontar(ST),MMR016007
