Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,459,6744,7203,Labutta,MMR017016
 Rural,2089,45854,47943,Labutta,MMR017016
 Total,2548,52598,55146,Labutta,MMR017016
