Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,480,5698,6178,Toungup,MMR012016
 Rural,436,18625,19061,Toungup,MMR012016
 Total,916,24323,25239,Toungup,MMR012016
