Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,567,7924,8491,Kyaukse,MMR010013
 Rural,502,48772,49274,Kyaukse,MMR010013
 Total,1069,56696,57765,Kyaukse,MMR010013
