Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,561,4280,4841,Nanhsam(South),MMR014013
 Rural,148,13874,14022,Nanhsam(South),MMR014013
 Total,709,18154,18863,Nanhsam(South),MMR014013
