Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,329,5573,5902,Paung,MMR011008
 Rural,1585,36239,37824,Paung,MMR011008
 Total,1914,41812,43726,Paung,MMR011008
