Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,2659,8284,10943,Ahlon,MMR013037
 Total,2659,8284,10943,Ahlon,MMR013037
