Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,17,760,777,Ahmar(ST),MMR017023
 Rural,696,26313,27009,Ahmar(ST),MMR017023
 Total,713,27073,27786,Ahmar(ST),MMR017023
