Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,181,2052,2233,Momeik,MMR015017
 Rural,301,11118,11419,Momeik,MMR015017
 Total,482,13170,13652,Momeik,MMR015017
