Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,115,1617,1732,Sinku,MMR010010
 Rural,1592,31209,32801,Sinku,MMR010010
 Total,1707,32826,34533,Sinku,MMR010010
