Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,2262,12194,14456,Pyinmana,MMR018006
 Rural,634,24573,25207,Pyinmana,MMR018006
 Total,2896,36767,39663,Pyinmana,MMR018006
