Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,6026,32781,38807,Mayangon,MMR013042
 Total,6026,32781,38807,Mayangon,MMR013042
