Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,554,13855,14409,Dawbon,MMR013014
 Total,554,13855,14409,Dawbon,MMR013014
