Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,5,828,833,Ngayokaung(ST),MMR017004
 Rural,196,9172,9368,Ngayokaung(ST),MMR017004
 Total,201,10000,10201,Ngayokaung(ST),MMR017004
