Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,178,1615,1793,Tagaung,MMR010012
 Rural,149,5450,5599,Tagaung,MMR010012
 Total,327,7065,7392,Tagaung,MMR010012
