Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,1183,18646,19829,Hinthada,MMR017008
 Rural,2362,63938,66300,Hinthada,MMR017008
 Total,3545,82584,86129,Hinthada,MMR017008
