Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,185,4430,4615,Minbya,MMR012005
 Rural,558,31455,32013,Minbya,MMR012005
 Total,743,35885,36628,Minbya,MMR012005
