Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,839,8298,9137,Maubin,MMR017019
 Rural,2922,59745,62667,Maubin,MMR017019
 Total,3761,68043,71804,Maubin,MMR017019
