Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,579,5544,6123,Lewe,MMR018007
 Rural,1532,57519,59051,Lewe,MMR018007
 Total,2111,63063,65174,Lewe,MMR018007
