Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,37,565,602,Kyauktalongyi(ST),MMR014001
 Rural,208,11455,11663,Kyauktalongyi(ST),MMR014001
 Total,245,12020,12265,Kyauktalongyi(ST),MMR014001
