Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,199,2450,2649,Hsihseng,MMR014004
 Rural,843,29279,30122,Hsihseng,MMR014004
 Total,1042,31729,32771,Hsihseng,MMR014004
