Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,1372,17534,18906,Sittway,MMR012001
 Rural,128,10002,10130,Sittway,MMR012001
 Total,1500,27536,29036,Sittway,MMR012001
