Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,381,2109,2490,Tada(ST),MMR013024
 Rural,50,6953,7003,Tada(ST),MMR013024
 Total,431,9062,9493,Tada(ST),MMR013024
