Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,158,2383,2541,Ngaputaw,MMR017004
 Rural,1981,32854,34835,Ngaputaw,MMR017004
 Total,2139,35237,37376,Ngaputaw,MMR017004
