Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,443,2603,3046,Einme,MMR017015
 Rural,1809,41600,43409,Einme,MMR017015
 Total,2252,44203,46455,Einme,MMR017015
