Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,440,4817,5257,Zalun,MMR017009
 Rural,1472,35344,36816,Zalun,MMR017009
 Total,1912,40161,42073,Zalun,MMR017009
