Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,300,1623,1923,Theinni,MMR015002
 Rural,228,9628,9856,Theinni,MMR015002
 Total,528,11251,11779,Theinni,MMR015002
