Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,268,1274,1542,Kunhing,MMR014014
 Rural,66,2962,3028,Kunhing,MMR014014
 Total,334,4236,4570,Kunhing,MMR014014
