Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,694,8821,9515,Nyaung U,MMR010022
 Rural,913,34234,35147,Nyaung U,MMR010022
 Total,1607,43055,44662,Nyaung U,MMR010022
