Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,18,824,842,Kehsi,MMR014015
 Rural,181,7878,8059,Kehsi,MMR014015
 Total,199,8702,8901,Kehsi,MMR014015
