Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,21,693,714,Mabane,MMR015018
 Rural,607,7311,7918,Mabane,MMR015018
 Total,628,8004,8632,Mabane,MMR015018
