Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,313,9935,10248,Pobbathiri,MMR018005
 Rural,280,17088,17368,Pobbathiri,MMR018005
 Total,593,27023,27616,Pobbathiri,MMR018005
