Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,20,1450,1470,Mineye`,MMR015003
 Rural,251,11607,11858,Mineye`,MMR015003
 Total,271,13057,13328,Mineye`,MMR015003
