Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,464,3114,3578,Ingapu,MMR017013
 Rural,1943,51708,53651,Ingapu,MMR017013
 Total,2407,54822,57229,Ingapu,MMR017013
