Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,4461,28264,32725,South Okkalapa,MMR013011
 Total,4461,28264,32725,South Okkalapa,MMR013011
