Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,1566,7447,9013,Kyaukpadaung,MMR010020
 Rural,1293,51655,52948,Kyaukpadaung,MMR010020
 Total,2859,59102,61961,Kyaukpadaung,MMR010020
